ID,slide_num,section_num,CT area (mm^2),LCA area,LTA area,MTA area
63-1-1,6,3,0.582,0.142,0.195,0
63-1-1,6,4,0.546,0.131,0.197,0
63-1-1,6,5,0.537,0.104,0.196,0
63-1-1,6,6,0.508,0.078,0.111,0
63-1-1,6,7,0.495,0.054,0.088,0
63-1-1,6,8,0.478,0.026,0.082,0
63-1-1,6,9,0.465,0.012,0.071,0
63-1-1,6,10,0.462,0,0.08,0
63-1-1,7,1,0.433,0,0.08,0
63-1-1,7,2,0.419,0,0.076,0
63-1-1,7,3,0.395,0,0.062,0
63-1-1,7,4,0.345,0,0.018,0
63-1-1,7,5,0.3,0,0,0
63-1-1,7,6,0.165,0,0,0
63-1-1,7,7,0.028,0,0,0
63-1-1,7,8,0,0,0,0
