note.starts,note.ends,note.durs,INI,pk.amps,pk.times,qpk.amps,qpk.times,note.rmss,rel.pk.amps,rel.qpk.amps,rel.note.rmss,rel.pk.tm,rel.qpk.tm,rel.INI,max.Hz,min.Hz,FMa,FMb,FMc,FM.resid,note.DF,arcL,chordL
997.36576,1016.7808,19.41504,44.76928,0.0878780856728554,0.00462848,0.0878780856728554,0.00462848,0.0247457397992535,0.0779070085413179,0.0779070085413179,0.0952088812476603,0.000238396624472574,0.000238396624472574,2.30590717299578,26702.880859375,9918.212890625,144447407.421738,-3146426.02226227,28759.4514734605,2619.48505428634,12016.2963867188,27629.0810929698,6639.43557431554
1061.55008,1079.2448,17.69472,50.49344,0.0601266175508499,0.00279552,0.0601266175508499,0.00279552,0.019079532655252,0.0533043576362468,0.0533043576362468,0.0734082300052937,0.000157986111111111,0.000157986111111111,2.85358796296297,24795.5322265625,9155.2734375,-27908078.7783522,456346.462450023,14393.6702183315,5818.55998520978,11634.8266601562,4394.2186058144,663.183547874306
1129.73824,1145.344,15.6057600000001,54.49728,0.0484061278402805,0.00702464,0.0483713485300541,0.00360448,0.017259838879161,0.0429137319757267,0.0428828988960331,0.0664069841326534,0.000450131233595796,0.000230971128608922,3.49212598425194,22888.18359375,8773.8037109375,-58228480.3125083,788652.748390513,13410.1280799279,5745.23602403029,11634.8266601562,7214.22148058521,1873.42374272958
1199.84128,1219.75808,19.9168,45.2812799999999,0.0565064437687397,0.00038912,0.0565064437687397,0.00038912,0.0168550829138943,0.0500949464661645,0.0500949464661645,0.064849691324114,1.95372750642674e-05,1.95372750642674e-05,2.27352185089974,21743.7744140625,9155.2734375,32498124.9505123,-703994.756047966,16278.8465911267,5073.89602828508,11634.8266601562,6495.19346177653,1130.0015772416
1265.03936,1283.14368,18.1043199999999,40.5811200000001,0.0627439767122269,0.0036864,0.0627439767122269,0.0036864,0.020360937563878,0.0556247384340283,0.0556247384340283,0.0783384171310478,0.000203619909502263,0.000203619909502263,2.24151583710409,22506.7138671875,9155.2734375,61916284.0656338,-1310232.05960026,21098.0006626674,5019.12922816532,11634.8266601562,10436.3562766142,3426.78278689405
1323.7248,1344.79872,21.07392,41.9737600000001,0.112137891352177,0.00692224,0.101567022502422,0.00475136,0.0300720078692894,0.0994141780910228,0.0900427316893252,0.11570162174712,0.000328474246841593,0.000225461613216715,1.99173955296404,28610.2294921875,9155.2734375,43509514.3035503,-1296945.07627433,26229.6851820498,5497.98925878004,20790.1000976562,11321.2567653874,8008.70185224776
1386.77248,1410.41664,23.6441599999998,40.3046400000001,0.104741171002388,0.00755712,0.0936081632971764,0.0037376,0.0282830534606297,0.0928567257858604,0.0829869235508717,0.108818645152632,0.000319618882633177,0.0001580770896492,1.70463404071028,26702.880859375,8773.8037109375,19592171.0227968,-1047888.07100617,25048.5068873355,4949.1329282698,15640.2587890625,13823.5024524737,13823.5024524664
1450.72128,1474.22208,23.5008,37.76512,0.12719389796257,0.00876544,0.0740038678050041,0.00400384,0.0274771170093919,0.112761856600551,0.065607027247248,0.105717816141192,0.000372984749455337,0.00017037037037037,1.60697167755991,27847.2900390625,9155.2734375,20823842.5929434,-1116360.16335265,26395.0280975877,5383.41631193959,23841.8579101562,14734.6068651814,14734.606865175
1511.9872,1535.30368,23.31648,35.54304,0.126112043857574,0.0090112,0.103073790669441,0.0056832,0.0364158839826403,0.111802754950202,0.0913785345753226,0.140109594692189,0.000386473429951692,0.000243741765480896,1.52437417654809,30136.1083984375,9155.2734375,41175067.0252492,-1693574.87098559,29697.7528354578,4059.55881843659,24032.5927734375,17726.2365356984,17103.0401538903
1570.84672,1594.43968,23.5929599999999,39.56736,0.112144008278847,0.00772096,0.0966412127017975,0.00512,0.0309585910600575,0.0994196009612946,0.0856758283450853,0.119112737939676,0.000327256944444445,0.000217013888888889,1.67708333333334,30899.0478515625,9155.2734375,13552479.2037392,-962069.74386993,28400.2777329065,5427.97741198473,22697.4487304688,15154.3868215662,15154.3868215644
