note.starts,note.ends,note.durs,INI,pk.amps,pk.times,qpk.amps,qpk.times,note.rmss,rel.pk.amps,rel.qpk.amps,rel.note.rmss,rel.pk.tm,rel.qpk.tm,rel.INI,max.Hz,min.Hz,FMa,FMb,FMc,FM.resid,note.DF,arcL,chordL
999.81312,1019.37152,19.5584,29.7164799999999,0.254569470882416,0.0014848,0.254569470882416,0.0014848,0.0543885912632803,0.115181751790172,0.115181751790172,0.128381337294253,7.59162303664921e-05,7.59162303664921e-05,1.51937172774869,35476.6845703125,11062.6220703125,85078823.2510099,-2633887.24979579,37672.3794376149,4918.6843383005,35095.21484375,21800.8726654256,18969.3321509516
1049.088,1068.46208,19.37408,27.21792,0.222409307956696,0.0013824,0.222409307956696,0.0013824,0.0470466378343529,0.100630659348483,0.100630659348483,0.111051052069634,7.13530655391119e-05,7.13530655391119e-05,1.40486257928118,30517.578125,12207.03125,120100726.031687,-2551025.05118772,30297.6720473346,3179.21432793827,27847.2900390625,22749.4379610098,4343.35830499908
1095.68,1117.22496,21.5449599999999,23.1424,0.345384538173676,0.00080896,0.345384538173676,0.00080896,0.0732411670362801,0.156271669223284,0.156271669223284,0.172881825962231,3.75475285171104e-05,3.75475285171104e-05,1.07414448669202,30517.578125,8773.8037109375,35460683.8102668,-1542593.11894514,29102.321502717,4988.75652481925,25558.4716796875,16774.7788416056,16774.7788415866
1140.36736,1161.19552,20.82816,23.63392,0.360575318336487,0.005376,0.290574222803116,0.00519168,0.0745044677423108,0.163144844801436,0.131472355626609,0.175863779167453,0.00025811209439528,0.000249262536873156,1.13470993117011,32424.9267578125,9155.2734375,91585624.8605347,-2702865.39741674,33306.6080130783,4639.79347280088,21934.5092773438,23318.5933204551,16564.7470603726
1184.82944,1207.3984,22.5689600000001,22.31296,0.336279571056366,0.00325632,0.336279571056366,0.00325632,0.0931205759518903,0.152152062661946,0.152152062661946,0.219806098901222,0.000144283121597096,0.000144283121597096,0.988656987295822,32806.396484375,9155.2734375,43251722.5795661,-1969013.79274233,32518.6210766173,3389.01379640894,27465.8203125,22407.9845436924,22407.9845436762
1229.71136,1253.12,23.4086399999999,22.6099200000001,0.543914675712585,0.00344064,0.543914675712585,0.00344064,0.100211415049114,0.246098029570467,0.246098029570467,0.236543642284783,0.000146981627296589,0.000146981627296589,0.965879265091873,33950.8056640625,9155.2734375,32610653.0839973,-1589541.44194069,32053.4957082648,4597.49315578286,29563.9038085938,19339.5255596536,19339.5255596429
1275.72992,1297.64352,21.9136000000001,23.9718399999999,0.373370349407196,0.00301056,0.373370349407196,0.00301056,0.084744420617213,0.168934046813073,0.168934046813073,0.200034635837491,0.000137383177570093,0.000137383177570093,1.09392523364485,31280.517578125,8773.8037109375,32080747.8735854,-1534483.69250209,29819.9884908733,4607.58975010547,28800.9643554688,18220.6985628343,18220.6985628282
1321.61536,1344.94208,23.32672,22.3948800000001,0.393744736909866,0.00173056,0.393744736909866,0.00173056,0.0863572999511331,0.17815258207606,0.17815258207606,0.203841750546173,7.41878841088673e-05,7.41878841088673e-05,0.960052677787534,30899.0478515625,8773.8037109375,23459046.8825593,-1252868.84181071,28335.8389871162,4477.01870679835,28038.0249023438,16460.4118796646,16460.411879659
1367.33696,1391.39072,24.05376,23.5724799999998,0.437404751777649,0.00467968,0.437404751777649,0.00467968,0.100416031862392,0.197906863601746,0.197906863601746,0.237026629240527,0.000194550872711792,0.000194550872711792,0.979991485738604,31661.9873046875,8773.8037109375,35665280.4166034,-1565981.73457534,30082.7600005874,4504.03626281663,28038.0249023438,17346.9504758974,17032.410667535
1414.9632,1439.81568,24.85248,23.5929600000002,0.392422795295715,0.002816,0.392422795295715,0.002816,0.106075728077308,0.177554460273181,0.177554460273181,0.250386037011044,0.00011330861145447,0.00011330861145447,0.94932014833128,32806.396484375,9155.2734375,34175817.1224727,-1523181.98390367,31006.3182859492,4013.8059494201,28038.0249023438,17197.0456240871,16746.3011776225
1463.40864,1488.1792,24.7705599999999,22.1184000000001,0.388353019952774,0.00493568,0.388353019952774,0.00493568,0.0967402289700732,0.175713061727756,0.175713061727756,0.228350094695597,0.000199255890863994,0.000199255890863994,0.892930963207942,31661.9873046875,9155.2734375,32931869.7559459,-1546935.30918872,30158.4803072133,3880.70555919289,17356.8725585938,18220.6248090603,18112.0960817809
1510.2976,1535.61088,25.3132799999998,22.28224,0.501942217350006,0.00530432,0.501942217350006,0.00530432,0.116674404105041,0.227107294882665,0.227107294882665,0.275403640342639,0.000209546925566344,0.000209546925566344,0.880258899676381,32806.396484375,8773.8037109375,39309331.9723739,-1846810.11912599,32050.8882596895,3839.28121619973,22315.9790039062,21822.0323654759,21560.88980437
1557.89312,1583.89248,25.99936,23.0604800000001,0.48322057723999,0.00561152,0.48322057723999,0.00561152,0.109418705344503,0.21863655682919,0.21863655682919,0.258276954612298,0.000215833005120126,0.000215833005120126,0.886963371406068,32806.396484375,8773.8037109375,24739077.6505673,-1406055.18570194,30836.6255326705,4038.47997844288,22315.9790039062,19833.741767544,19833.7417675362
1606.95296,1632.9728,26.0198399999999,22.9990399999999,0.505537331104279,0.00543744,0.505537331104279,0.00543744,0.10835839928748,0.22873392944598,0.22873392944598,0.255774159331521,0.000208972845336482,0.000208972845336482,0.883903974813065,32424.9267578125,9155.2734375,40675293.3150433,-1732463.69570473,31138.3334073153,4403.91862375578,22315.9790039062,19355.0651923705,17539.9499896519
1655.97184,1684.35712,28.38528,19.68128,0.573432207107544,0.00577536,0.573432207107544,0.00577536,0.119256271741257,0.259453444745773,0.259453444745773,0.281497999695497,0.000203463203463204,0.000203463203463204,0.693362193362195,33187.8662109375,9155.2734375,35967840.7893103,-1735938.31197572,32086.8058638139,3842.56778519781,25844.5739746094,21596.4067732572,20294.9381555103
1704.0384,1731.72736,27.6889600000002,21.44256,0.546074688434601,0.00364544,0.546074688434601,0.00364544,0.116625735418148,0.247075342554417,0.247075342554417,0.27528876053122,0.000131656804733727,0.000131656804733727,0.774408284023662,32806.396484375,9155.2734375,29902675.4797403,-1512133.79981725,30921.6646337698,3858.22340344208,22411.3464355469,19289.5044014247,18943.6737391385
1753.16992,1781.99552,28.8255999999999,22.1900800000001,0.566376566886902,0.00591872,0.566376566886902,0.00591872,0.11454402789204,0.256261070586382,0.256261070586382,0.270375002151939,0.000205328596802843,0.000205328596802843,0.769804618117235,32806.396484375,9155.2734375,35989781.9558048,-1521229.77393233,30887.4379033628,4022.32519448313,22411.3464355469,18204.0575984059,13945.9035469266
1804.1856,1833.1136,28.9279999999999,21.1456000000001,0.541306018829346,0.00413696,0.541306018829346,0.00413696,0.116367062826557,0.244917724372874,0.244917724372874,0.274678177825206,0.000143008849557523,0.000143008849557523,0.730973451327439,33569.3359375,9536.7431640625,57630041.0241619,-2183206.33997307,33849.633258322,3665.18977156711,22411.3464355469,26424.0571250335,14929.2927986331
1854.2592,1881.77408,27.5148799999999,22.9273600000001,0.453810214996338,0.00595968,0.453810214996338,0.00595968,0.116994729341705,0.205329631091924,0.205329631091924,0.276159750793319,0.000216598436918497,0.000216598436918497,0.833271306289549,32043.45703125,9536.7431640625,56435814.6763861,-2106884.7902279,32159.9334596174,3181.62984895724,22315.9790039062,24082.6428127603,15244.8977615206
1904.70144,1933.86496,29.1635200000001,20.7974399999998,0.547824800014496,0.00366592,0.547824800014496,0.00366592,0.122123197059562,0.247867192876853,0.247867192876853,0.288265222337926,0.000125702247191011,0.000125702247191011,0.713132022471903,33569.3359375,9155.2734375,42866770.4256738,-1856712.63494813,32614.0030570652,3743.33781623851,25272.3693847656,22520.8189801224,17689.620620605
1954.6624,1984.09216,29.42976,22.4051200000001,0.659856677055359,0.00802816,0.482351452112198,0.00277504,0.127207304524625,0.29855680545757,0.218243315037875,0.300265983897515,0.000272790535838553,9.42936673625609e-05,0.761308281141271,33950.8056640625,9155.2734375,40045763.3049436,-1898453.87117631,33600.8486540421,3325.10516449457,29754.638671875,23813.1315703987,21186.9747620564
2006.49728,2035.41504,28.91776,23.6544000000001,0.672418057918549,0.00656384,0.672418057918549,0.00656384,0.141637264483043,0.304240290785604,0.304240290785604,0.334327126382278,0.000226983002832861,0.000226983002832861,0.817988668555244,34713.7451171875,9155.2734375,59980880.2914371,-2441089.94214263,36420.4075025476,3094.15156091402,22888.18359375,29240.8750307833,20432.6310849946
2059.06944,2089.1648,30.0953599999998,23.2140800000002,0.630644857883453,0.00334848,0.630644857883453,0.00334848,0.144208282714521,0.285339711932825,0.285339711932825,0.340395876300202,0.000111262334127255,0.000111262334127255,0.771350799591709,34713.7451171875,9155.2734375,55567571.3736725,-2304625.68008011,36035.620647928,3487.51387102032,22888.18359375,28762.0727310353,19029.2845492479
2112.37888,2142.3616,29.98272,23.1526399999998,0.513677656650543,0.00270336,0.513677656650543,0.00270336,0.129417241280811,0.232417077127872,0.232417077127872,0.305482420460863,9.01639344262296e-05,9.01639344262296e-05,0.772199453551906,33950.8056640625,8773.8037109375,41913896.9093383,-1977055.57703433,34055.2951978601,3097.68243829733,28610.2294921875,25029.883765065,21598.4403851683
2165.51424,2196.38784,30.8735999999999,23.9820800000002,0.581800699234009,0.00270336,0.581800699234009,0.00270336,0.149725875931307,0.263239828005428,0.263239828005428,0.353419857605174,8.75621890547267e-05,8.75621890547267e-05,0.776782752902166,34332.275390625,8773.8037109375,44213138.2685932,-2009095.19934498,34241.6029710036,3522.77696671619,21743.7744140625,25762.8280002262,19884.958800845
2220.36992,2250.89536,30.5254399999999,22.6713599999998,0.635923087596893,0.00651264,0.635923087596893,0.00651264,0.169527037774808,0.287727884177664,0.287727884177664,0.400159432549174,0.000213351224421336,0.000213351224421336,0.742703790674267,34713.7451171875,9155.2734375,37489014.629027,-1885852.1135836,34083.733191857,2888.38304987035,22220.6115722656,24798.9652080112,22634.1084683252
2273.56672,2305.28,31.7132800000004,23.7158399999998,0.649926662445068,0.00712704,0.649926662445068,0.00712704,0.173600677383433,0.29406390034153,0.29406390034153,0.409775039213417,0.000224733613174037,0.000224733613174037,0.747820471423944,34332.275390625,9155.2734375,34874452.7207598,-1712041.74919638,33709.1429620727,3953.63243003122,22220.6115722656,22803.3121038839,19220.1018037963
2328.99584,2361.02656,32.0307199999997,24.0435200000002,0.819457828998566,0.0036864,0.819457828998566,0.0036864,0.163224408542433,0.370769471826504,0.370769471826504,0.385282416054935,0.000115089514066497,0.000115089514066497,0.75063938618927,34332.275390625,9155.2734375,27068648.3261452,-1489327.68785734,32651.4610877404,4072.05933697584,22029.8767089844,21039.0035155168,19932.6975987766
2385.07008,2419.39456,34.3244800000002,22.0364799999998,0.766881287097931,0.00434176,0.766881287097931,0.00434176,0.167581504684674,0.346980844784176,0.346980844784176,0.395567106584108,0.000126491646778042,0.000126491646778042,0.642004773269679,35095.21484375,9155.2734375,26512411.902947,-1550083.17063,33541.5661106621,3437.65403993821,28038.0249023438,23344.1649539317,21969.6723851947
2441.43104,2476.19584,34.7647999999999,22.7225600000002,0.711447238922119,0.00388096,0.711447238922119,0.00388096,0.179833757205323,0.32189931888251,0.32189931888251,0.42448788807399,0.000111634756995582,0.000111634756995582,0.653608247422686,35476.6845703125,9155.2734375,28752397.0547317,-1616468.96991525,33986.7185228303,3620.53630766443,24032.5927734375,23992.879332964,21446.3229633979
2498.9184,2534.67648,35.7580800000001,23.5827199999999,0.890490889549255,0.00470016,0.890490889549255,0.00470016,0.192296947061652,0.402908880848668,0.402908880848668,0.453906575771973,0.000131443298969072,0.000131443298969072,0.659507445589915,35095.21484375,9155.2734375,22077316.0932366,-1417223.34521461,34545.5601884814,3959.95238911383,24032.5927734375,23040.1321976008,22448.2400082661
2558.2592,2590.65856,32.3993599999999,24.5555200000003,0.941057980060577,0.00613376,0.941057980060577,0.00613376,0.21453780029191,0.425788317443469,0.425788317443469,0.506404910697471,0.000189317319848294,0.000189317319848294,0.757901390644767,35858.154296875,9155.2734375,28475508.4205234,-1533807.55538592,33625.0239967281,4049.67325414523,24032.5927734375,21505.4674271686,19803.114362788
2615.21408,2649.89696,34.6828799999998,23.6441599999998,0.938695073127747,0.0041472,0.938695073127747,0.0041472,0.202574124204989,0.424719203543451,0.424719203543451,0.478165298320691,0.000119574844995572,0.000119574844995572,0.681724239740181,35858.154296875,8773.8037109375,19384846.461709,-1317490.24930818,33817.5940135169,4186.61590670288,24032.5927734375,22395.2996933368,22376.2824391403
2673.54112,2708.35712,34.8160000000003,23.7977599999999,0.875618517398834,0.00772096,0.875618517398834,0.00772096,0.198281291631735,0.396179771220467,0.396179771220467,0.468032298481315,0.000221764705882351,0.000221764705882351,0.683529411764699,35476.6845703125,8773.8037109375,24022812.3790728,-1493491.77649992,35141.9850784243,4247.55772321469,24032.5927734375,23546.9303347907,22878.0650333902
2732.15488,2767.91296,35.7580800000001,23.38816,0.88681036233902,0.00641024,0.88681036233902,0.00641024,0.202180780110483,0.401243600365046,0.401243600365046,0.477236830792914,0.000179266895761741,0.000179266895761741,0.65406643757159,35476.6845703125,9155.2734375,23414202.0561131,-1412444.39111663,32748.1424867226,3872.20419898531,24032.5927734375,22034.3699110448,20567.9575363488
2791.30112,2827.37664,36.0755199999999,24.15616,0.961477696895599,0.0105472,0.938697814941406,0.0079872,0.220448756500729,0.435027362282445,0.42472044409637,0.520357404136814,0.000292364462106161,0.000221402214022141,0.669599772920809,35095.21484375,8773.8037109375,20939093.2542141,-1420191.81093317,34823.2062579376,3504.38567499324,24032.5927734375,24179.0646612436,23983.1187371864
2851.5328,2889.22624,37.69344,24.6067200000002,0.951179385185242,0.00411648,0.951179385185242,0.00411648,0.224011815689907,0.430367818547021,0.430367818547021,0.528767813249102,0.00010920945395273,0.00010920945395273,0.652811735941326,35095.21484375,8773.8037109375,18485094.7652863,-1267364.23853694,33343.0000619178,3858.88110009242,24032.5927734375,21938.3647167803,21507.7799205502
2913.83296,2951.10656,37.2736,23.94112,1.02198243141174,0.0049152,1.02198243141174,0.0049152,0.234974688112115,0.462403155966628,0.462403155966628,0.554645082534058,0.000131868131868132,0.000131868131868132,0.642307692307691,35095.21484375,8773.8037109375,17018832.7414863,-1281795.6521808,34396.2638608871,3713.09621910271,24032.5927734375,24132.5123247998,24132.5123247612
2975.04768,3011.64544,36.5977599999997,24.50432,1.07496047019958,0.0045056,1.07496047019958,0.0045056,0.22808558537717,0.486373443106086,0.486373443106086,0.538383726956959,0.00012311135982093,0.00012311135982093,0.669557918298831,35095.21484375,9155.2734375,17793204.2576551,-1279071.74716534,33582.0202756985,3773.48654310067,24032.5927734375,22994.2860343352,22979.0135570189
3036.14976,3072.98304,36.8332800000003,24.2790399999999,1.17747020721436,0.00982016,1.02358019351959,0.0036352,0.238595188615632,0.532754696301858,0.463126074696388,0.563191078771872,0.0002666110647762,9.86933555740888e-05,0.659160411453982,34713.7451171875,8773.8037109375,15191885.9417783,-1138187.56767029,32280.2313442888,3940.16106680479,24032.5927734375,21312.4938019305,21312.4938018951
3097.26208,3136.52224,39.2601599999998,22.1900800000003,1.04313814640045,0.00438272,1.04313814640045,0.00438272,0.23750674458962,0.471975208358953,0.471975208358953,0.560621865332367,0.000111632759520084,0.000111632759520084,0.565206051121555,34713.7451171875,8773.8037109375,20866300.3714509,-1350619.1429837,33528.1125960811,3639.34798100117,24032.5927734375,22847.9321731326,20863.0395061861
3158.71232,3196.91776,38.2054399999997,25.4976000000001,1.12087965011597,0.004096,1.12087965011597,0.004096,0.245980261462361,0.507149899784899,0.507149899784899,0.58062314505741,0.000107209863307425,0.000107209863307425,0.667381399088725,34332.275390625,9155.2734375,19954419.6693165,-1309936.2728771,33417.8247759419,3882.19101045399,24032.5927734375,22076.2427031855,20920.1103524026
3222.41536,3259.43296,37.0176000000001,24.6886399999999,1.26162469387054,0.00369664,1.26162469387054,0.00369664,0.259407781842003,0.570830987070202,0.570830987070202,0.612318082963406,9.98616874135543e-05,9.98616874135543e-05,0.666943291839551,34332.275390625,8773.8037109375,17305028.2701959,-1173016.37959,32164.1355520891,4041.08204779397,24032.5927734375,20047.1712872024,19709.1240020226
