note.starts,note.ends,note.durs,INI,pk.amps,pk.times,qpk.amps,qpk.times,note.rmss,rel.pk.amps,rel.qpk.amps,rel.note.rmss,rel.pk.tm,rel.qpk.tm,rel.INI,max.Hz,min.Hz,FMa,FMb,FMc,FM.resid,note.DF,arcL,chordL
954.30656,966.17472,11.86816,31.8464,0.0392963066697121,0.00484352,0.0201832856982946,0.00039936,0.0111797403007045,0.0317367352306686,0.0163005546469187,0.0429520589286125,0.000408110440034513,3.36496980155307e-05,2.68334771354616,24414.0625,15258.7890625,62239775.6229257,-1475035.04360264,24420.9983132102,796.658321451848,20027.1606445312,8739.32304563784,8739.27898338927
998.02112,1014.528,16.50688,30.9759999999999,0.0464668571949005,0.00744448,0.0427200496196747,0.0013824,0.0146094723473882,0.0375278612361931,0.0345018404710697,0.0561289350470341,0.000450992555831265,8.37468982630272e-05,1.87655086848634,28991.69921875,17929.0771484375,68432328.2910812,-1797546.77121635,29532.463995965,662.450797588659,17929.0771484375,12582.8962575312,11025.6473546028
1045.504,1064.91904,19.4150400000001,29.4195199999999,0.0803947746753693,0.0091136,0.0792979970574379,0.00260096,0.0226838770442382,0.0649289435581491,0.0640431569838591,0.087150434386398,0.00046940928270042,0.000133966244725738,1.51529535864978,30517.578125,12207.03125,23826376.4819361,-1345671.19381026,30684.7516228171,2051.0948483232,28419.4946289062,17145.0556827315,17145.0556827303
1094.33856,1113.0368,18.6982400000002,31.50848,0.0781277120113373,0.00897024,0.061474896967411,0.00219136,0.0201201995260913,0.0630980038689703,0.0496487505756135,0.0773009007772437,0.000479737130339536,0.000117196056955092,1.68510405257391,43106.0791015625,12207.03125,32384495.142993,-946622.309663273,30606.2137379366,9205.21679525571,19645.6909179688,7457.47052641791,6377.76860560641
1144.54528,1167.2576,22.7123199999999,30.37184,0.0846621990203857,0.00443392,0.0846621990203857,0.00443392,0.0201501601981867,0.068375428178015,0.068375428178015,0.077416008330619,0.000195220919747521,0.000195220919747521,1.33724075743914,32043.45703125,9918.212890625,30161631.7061477,-1457181.33580651,32839.858741091,4983.21899228396,28419.4946289062,17537.1067718835,17537.1067718749
1197.62944,1216.34816,18.7187200000001,29.92128,0.0881045013666153,0.00840704,0.0849671959877014,0.0026112,0.0226368504022146,0.0711555224770652,0.0686217517849436,0.0869697601448609,0.000449124726477022,0.000139496717724288,1.59846827133479,32424.9267578125,15640.2587890625,58812396.165502,-1546952.30696902,30600.6038890165,6161.49804613219,28419.4946289062,11995.212768084,8349.66345698905
1246.26944,1266.37056,20.10112,26.3987199999999,0.130775183439255,0.00852992,0.0774051025509834,0.00374784,0.0247499758364464,0.105617492413166,0.0625144053819373,0.0950882929312577,0.000424350483953132,0.000186449312277127,1.31329597554762,30136.1083984375,12207.03125,66745550.885203,-2086518.41649426,30578.8189757104,1111.27655860589,20027.1606445312,17640.6213324839,14972.481823635
1292.76928,1313.01376,20.2444800000001,26.43968,0.131619989871979,0.00954368,0.111755937337875,0.00229376,0.0325289395449117,0.106299780402769,0.0902570468914076,0.124974721293864,0.000471421345472937,0.000113302984319676,1.30601922104198,32043.45703125,12207.03125,55277911.1000341,-1668884.56369022,31075.7580925436,5287.21383118817,28419.4946289062,14061.8270741527,11130.6579969616
1339.45344,1363.32288,23.8694399999999,24.9446400000002,0.183751970529556,0.00917504,0.134381875395775,0.00270336,0.036696511159825,0.148402944984775,0.108530352103638,0.14098634381623,0.000384384384384385,0.000113256113256114,1.04504504504505,32806.396484375,10299.6826171875,40150038.0275026,-1674854.00259969,31937.3338742364,3177.20906773748,20122.5280761719,17830.8298874004,17102.3362962228
1388.26752,1409.08544,20.81792,30.30016,0.195163041353226,0.00894976,0.153157845139503,0.00246784,0.0413725196808236,0.157618827191546,0.123694321213108,0.158951358042184,0.000429906542056076,0.000118544023610428,1.45548450565667,32424.9267578125,9918.212890625,53839596.9574875,-1863592.85799583,32203.805212881,5173.10005560062,23841.8579101562,16790.2028562582,15462.8106013161
